col1,col2,col3,col4,col5
#067bc2,#84bcda,#ecc30b,#f37748,#d56062
#efc69b,#af1b3f,#473144,#ccb69b,#df9b6d
#efc69b,#af1b3f,#473144,#ccb69b,#df9b6d
#729ea1,#b5bd89,#dfbe99,#ec9192,#db5375
#564138,#2e86ab,#f6f5ae,#f5f749,#f24236
#ff7477,#e69597,#ceb5b7,#b5d6d6,#9cf6f6
#fb6107,#f3de2c,#7cb518,#5c8001,#fbb02d
#272838,#f3de8a,#eb9486,#7e7f9a,#f9f8f8
#d81159,#8f2d56,#218380,#fbb13c,#73d2de
#ffcab1,#69a2b0,#659157,#a1c084,#e05263
#f4e409,#eeba0b,#c36f09,#a63c06,#710000
#0c0a3e,#7b1e7a,#b33f62,#f9564f,#f3c677
#331832,#d81e5b,#f0544f,#c6d8d3,#fdf0d5
#30292f,#413f54,#5f5aa2,#355691,#3f4045
#995d81,#eb8258,#f6f740,#d8dc6a,#6689a1
#3772ff,#f038ff,#ef709d,#e2ef70,#70e4ef
#540d6e,#ee4266,#ffd23f,#3bceac,#0ead69
#f2f3ae,#edd382,#fc9e4f,#f4442e,#020122
#e6c229,#f17105,#d11149,#6610f2,#1a8fe3
#50514f,#f25f5c,#ffe066,#247ba0,#70c1b3
#6699cc,#fff275,#ff8c42,#ff3c38,#a23e48
#f75c03,#d90368,#820263,#291720,#04a777
#ffba49,#20a39e,#ef5b5b,#23001e,#a4a9ad
#2e86ab,#a23b72,#f18f01,#c73e1d,#3b1f2b
#f46036,#2e294e,#1b998b,#e71d36,#c5d86d
#a54657,#582630,#f7ee7f,#f1a66a,#f26157
#231f20,#bb4430,#7ebdc2,#f3dfa2,#efe6dd
#7a6c5d,#2a3d45,#ddc9b4,#bcac9b,#c17c74
#22162b,#451f55,#724e91,#e54f6d,#f8c630
#fcba04,#a50104,#590004,#250001,#f3f3f3
#f7c1bb,#885a5a,#353a47,#84b082,#dc136c
#fbfef9,#191923,#0e79b2,#bf1363,#f39237
#423e3b,#ff2e00,#fea82f,#fffecb,#5448c8
#e8e8e8,#bfbfbf,#96939b,#564256,#fc814a
#403f4c,#e84855,#f9dc5c,#3185fc,#efbcd5
#d00000,#ffba08,#3f88c5,#032b43,#136f63
#1f271b,#19647e,#28afb0,#f4d35e,#ee964b
#faa916,#fbfffe,#6d676e,#1b1b1e,#96031a
#eb5e55,#3a3335,#d81e5b,#fdf0d5,#c6d8d3
#0c090d,#e01a4f,#f15946,#f9c22e,#53b3cb
#000f08,#136f63,#e0ca3c,#f34213,#3e2f5b
#820933,#d84797,#d2fdff,#3abeff,#26ffe6
#fe4a49,#2ab7ca,#fed766,#e6e6ea,#f4f4f8
#171219,#225560,#edf060,#f0803c,#310d20
#4c061d,#d17a22,#b4c292,#736f4e,#3b3923
#12355b,#420039,#d72638,#ffffff,#ff570a
#087e8b,#ff5a5f,#3c3c3c,#f5f5f5,#c1839f
#2a2b2a,#706c61,#f8f4e3,#e5446d,#ff8966
#f0a202,#f18805,#d95d39,#0e1428,#7b9e89
#437c90,#255957,#eeebd3,#a98743,#f7c548
