col1,col2,col3,col4,col5
#db3f29,#d7a449,#e8e3cc,#0b1f65,#0b1f65
#7954a1,#323e42,#efdcf9,#c55ffc,#c55ffc
#eb773e,#f7b301,#73d9f0,#1966b0,#1966b0
#fbf608,#ff5412,#ff66e9,#01dee6,#01dee6
#56382d,#f9fefb,#ae8b70,#6b1b00,#6b1b00
#edf1f2,#bf6336,#228280,#523a28,#523a28
#565819,#ff8210,#fbc858,#b4f8c8,#b4f8c8
#26161f,#a30052,#db8780,#f9e9d0,#f9e9d0
#d8e1e7,#2a231f,#ff5d00,#00478f,#00478f
#25232b,#a0877d,#deb3ad,#f9f1f0,#f9f1f0
#7f0000,#b32800,#e9a200,#fbdd00,#fbdd00
#b68d40,#f4ebd0,#122620,#d6ad60,#d6ad60
#738580,#474440,#bfcad0,#970c10,#970c10
#f2eef7,#1b4a56,#a3a3b7,#ff2768,#ff2768
#391306,#f1ced4,#710019,#f9ccd3,#f9ccd3
#0b1c48,#e66912,#9e3a14,#016367,#016367
#1e1514,#ffffff,#ecd5bb,#013a20,#013a20
#c14f60,#ff94b2,#f9e950,#21c5c4,#21c5c4
#b637fb,#9505e3,#7e1e80,#3d393b,#3d393b
#e7f6fc,#028476,#00221c,#a5cfe3,#a5cfe3
#aaa1a0,#8d8960,#cb9870,#4f3750,#4f3750
#69124a,#080b39,#14527c,#f248b6,#f248b6
#fddbd8,#d79b70,#e5b990,#f2d6c0,#f2d6c0
#0f1110,#d6c5c4,#a47c7a,#715b5b,#715b5b
#1f252f,#b67c9a,#e5e6e9,#73436d,#73436d
#a94a5f,#f68181,#57a5b8,#64d5dd,#64d5dd
#670305,#f56b39,#ffc680,#fdd264,#fdd264
#000000,#7d3f20,#d19a30,#f3cc3c,#f3cc3c
#e6d350,#3cbed0,#271140,#e928a0,#e928a0
#1b2e3c,#0c0c1e,#4d0011,#f3e3e2,#f3e3e2
#89cff0,#5b7485,#5fc9da,#ace6f2,#ace6f2
#f6e6e8,#d4bbdd,#f7e951,#5e376d,#5e376d
#f8c0c8,#efe7d3,#d3bbdd,#ece3f0,#ece3f0
#3b2244,#a06ab4,#e845ae,#eba408,#eba408
#a92420,#d1913e,#0e3160,#135390,#135390
#f0ede0,#433f30,#970c10,#918e80,#918e80
#874a5b,#232425,#e3cdbc,#afb2ae,#afb2ae
#104210,#6a8820,#d3c02f,#f2e437,#f2e437
#2b18a3,#f353d5,#e9d8e1,#88c9fa,#88c9fa
#3b2244,#105160,#2d7670,#cd966b,#cd966b
#ffffff,#e9d8e1,#e5cef6,#b655c8,#b655c8
#256c70,#bf0d70,#f054b0,#e0e9d0,#e0e9d0
#d83471,#0696b0,#f1afc0,#ffda77,#ffda77
#41483c,#fcc931,#ccd8c7,#eeeeee,#eeeeee
#df265e,#7f3e71,#004197,#0000a3,#0000a3
#bc2d40,#ef5c90,#f87db0,#eedee0,#eedee0
#b6ccd7,#bc9c22,#361b28,#bf8422,#bf8422
#2a291c,#4f5f2c,#c0d39a,#d0b49f,#d0b49f
#40c69f,#2e765e,#d62b83,#05234c,#05234c
#4d0011,#4e706a,#1f192b,#eec7bb,#eec7bb
#4d5264,#7eb6d7,#fcee96,#fdbfaf,#fdbfaf
#900000,#000000,#e56a19,#f1b416,#f1b416
#41b0c1,#f04854,#505149,#e2e4e7,#e2e4e7
#a16ae8,#b19ff9,#0e3506,#fea303,#fea303
#dfd6d1,#1f232c,#ffffff,#83746e,#83746e
#DEBAD6,#a3768b,#eceadb,#e6bdcc,#e6bdcc
#dd819c,#3b1f52,#1e142b,#a05987,#a05987
#fff5ec,#ce6c2f,#48bccf,#118592,#118592
#aeb8c4,#05263b,#163b50,#9ca6b8,#9ca6b8
#e1a730,#e0e3d7,#2879c0,#ab3910,#ab3910
#fda649,#f4e683,#b83c70,#4db3e4,#4db3e4
#47463f,#8bc5be,#af5662,#f6c8cc,#f6c8cc
#bbd1c0,#be0c3d,#e25371,#e5b5b0,#e5b5b0
#ffe4e2,#cc5216,#ff671b,#900300,#900300
#fdc0a0,#cfd1d1,#74112f,#000000,#000000
#000000,#3a4968,#ff4500,#0087ca,#0087ca
#4b0000,#1f6c66,#e7e6e3,#000000,#000000
#710117,#ffffff,#ecd5bb,#54627b,#54627b
#090a0e,#760504,#b12b24,#fbdc6a,#fbdc6a
#444440,#c3abc0,#f0c1b0,#e99380,#e99380
#e9eae0,#f7bec0,#c85250,#e7625f,#e7625f
#a4aa83,#d8ddb8,#4c411a,#f3eed9,#f3eed9
#4b4e30,#38b9e0,#f6c510,#fbe440,#fbe440
#0f0f1b,#1b2919,#7b583d,#f0d3c1,#f0d3c1
#523a28,#a47551,#d0b49f,#e4d4c8,#e4d4c8
