col1,col2,col3,col4,col5
#d8a7b1,#b6e2d3,#fae8e0,#ef7c8e,#ef7c8e
#887bb0,#85d2d0,#f4b9b8,#fff4bd,#fff4bd
#1b2e3c,#0c0c1e,#74112f,#f3e3e2,#f3e3e2
#fff387,#e9e9e7,#ff2768,#13c3f7,#13c3f7
#1e2640,#f3eac0,#dc9750,#922c40,#922c40
#c38370,#a45c40,#e4b7a0,#f6eee0,#f6eee0
#2f5061,#e57f84,#f4eae6,#4297a0,#4297a0
#b1d4e0,#2e8bc0,#0c2d48,#145da0,#145da0
#385e72,#6aabd2,#b7cfdc,#d9e4ec,#d9e4ec
#fd49a0,#a16ae8,#b4fee7,#603f8b,#603f8b
#291d29,#cfc1ce,#e9a33a,#e35a01,#e35a01
#4c3260,#e43480,#ead4c0,#f43ab0,#f43ab0
#f51663,#deb3ad,#fac218,#f86f15,#f86f15
#9388a2,#341948,#170b3b,#0e050f,#0e050f
#251e20,#fad480,#603a70,#f79630,#f79630
#010100,#fdb750,#fc2e20,#fd7f20,#fd7f20
#82a4e3,#52688f,#f7cb2d,#a2c4e0,#a2c4e0
#aeb8c4,#214358,#151b25,#9ca6b8,#9ca6b8
#ff6501,#1a1a1d,#c7d7de,#0d698b,#0d698b
#5c0601,#f9943b,#d05301,#d1c2c2,#d1c2c2
#f1d26c,#2b1200,#cf5c00,#8d1e00,#8d1e00
#f6cdc4,#fc841f,#b497bf,#5d1966,#5d1966
#ab202a,#335155,#15141a,#f8cf2c,#f8cf2c
#ffb067,#ffed86,#a2dce7,#f8ccdc,#f8ccdc
#c54920,#f1b930,#363430,#854b5b,#854b5b
#c9b1c6,#3b0918,#c9b1c6,#6b3a2c,#6b3a2c
#2b8e8e,#73b03a,#5cd85a,#278ed5,#278ed5
#94c973,#2f5233,#b1d8b7,#76b947,#76b947
#1c4508,#578e87,#f7e2c7,#29660c,#29660c
#f9f1e0,#00e0ea,#ff7930,#b5f2ee,#b5f2ee
#b24a3b,#74b7ac,#988686,#222222,#222222
#4b443c,#4d0011,#232425,#e4e5e8,#e4e5e8
#050707,#f4d800,#7f7f7f,#ecf1f2,#ecf1f2
#333652,#fad02c,#e9eaec,#90adc6,#90adc6
#7a871e,#104210,#e55b13,#f6a21e,#f6a21e
#4a545d,#57896a,#ddc077,#dc7726,#dc7726
#040001,#727680,#b75018,#f19e36,#f19e36
#bbc4c2,#7e7c73,#464033,#140005,#140005
#e5e8e8,#8d9797,#4e545c,#000401,#000401
#ceafb4,#945055,#29000a,#eb1e2b,#eb1e2b
#040000,#f6c7a5,#f2d0c1,#f7f8f8,#f7f8f8
#391306,#f1ced4,#aa1945,#f9ccd3,#f9ccd3
#f90067,#fa3980,#eecac9,#f0e5d0,#f0e5d0
#d67ba8,#b21368,#5f093d,#efd3b5,#efd3b5
#d18d96,#34586e,#dfb160,#6e3562,#6e3562
#6E3562,#d103d1,#6d8343,#a3c14a,#a3c14a
#eeb5eb,#c26dbc,#c8f4f9,#3cacae,#3cacae
#5d6c89,#36d6e7,#feb06a,#fbf6f3,#fbf6f3
#873f49,#f5f5e9,#0b1c47,#040a18,#040a18
#e10032,#dbe8e1,#1b4480,#013120,#013120
#fad02c,#e12a2a,#469a49,#192a29,#192a29
#171515,#c4ae78,#f9f6f0,#6f5b3e,#6f5b3e
#cfb2b0,#e9dac4,#eca4b1,#b7c8c2,#b7c8c2
#f3bc50,#25c0c0,#fa53a0,#fc8bc0,#fc8bc0
#ffd53d,#40b0df,#0067b3,#0000a3,#0000a3
#81abbc,#313e61,#fbd2c9,#774a62,#774a62
#efebe2,#b175ff,#ab0552,#07040a,#07040a
#050833,#00bec5,#ff0bac,#54086b,#54086b
#e7ded9,#13292A,#ffffff,#988780,#988780
#ae8b70,#303437,#d9ced6,#4f0000,#4f0000
#deb3ad,#e1999f,#663635,#f9f1f0,#f9f1f0
#ffc2c7,#fbfbfb,#f41f4e,#000000,#000000
#f7d330,#3aa3a0,#f6c324,#8ae2e0,#8ae2e0
#4c5d70,#d0e6f0,#f88379,#fbe5c0,#fbe5c0
#a1afa0,#f7edd0,#970c10,#947360,#947360
#e390c8,#be81b6,#a072be,#5d59af,#5d59af
#ffcba4,#94553d,#c4ac95,#f3ecda,#f3ecda
#3f4122,#536f16,#d4d6cf,#013a20,#013a20
#000000,#d1d0d0,#988686,#5c4e4e,#5c4e4e
#eab996,#a93d49,#cb7666,#f1ece4,#f1ece4
#f3f3e7,#999da0,#b2c4cb,#f09ca2,#f09ca2
#3aa7a0,#f34c50,#f7c9c0,#9fd9d0,#9fd9d0
#7f4aa4,#c598af,#fbee0f,#fbb80f,#fbb80f
#ff8882,#543855,#e88d72,#fbb574,#fbb574
#2f6d80,#6aa4b0,#e1e7e0,#2b4560,#2b4560
